M D Y: 10 03 2025
10:47:25 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
10:47:25 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:26 Gateway 0, reading I: PPS DETECTED
10:47:27 Gateway 0, reading I: PPS DETECTED
10:47:28 Gateway 0, reading I: PPS DETECTED
10:47:29 Gateway 0, reading I: PPS DETECTED
10:47:30 Gateway 0, reading I: PPS DETECTED
10:47:31 Gateway 0, reading I: PPS DETECTED
10:47:32 Gateway 0, reading I: PPS DETECTED
10:47:33 Gateway 0, reading I: PPS DETECTED
10:47:34 Gateway 0, reading I: PPS DETECTED
10:47:34 Gateway 0, sending b'NIBR\xe2*\x19\x8d\xda\xbb'
10:47:34 Gateway 0, reading I: READ FROM NIB
10:47:35 Gateway 0, reading I: PPS DETECTED
10:47:35 Gateway 0, sending b'NIBR\xf0\xe9\xbaV\xc7\x82'
10:47:35 Gateway 0, reading I: READ FROM NIB
10:47:35 Gateway 0, reading I: [E2:2A:19:8D:DA:BB (random)] Sensor NIB read:
10:47:35 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:35 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
10:47:36 Gateway 0, reading I: READ FROM NIB
10:47:36 Gateway 0, reading I: PPS DETECTED
10:47:36 Gateway 0, reading I: [F0:E9:BA:56:C7:82 (random)] Sensor NIB read:
10:47:36 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:36 Gateway 0, sending b'NIBR\xd6d\x988\xc4U'
10:47:36 Gateway 0, reading I: READ FROM NIB
10:47:36 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
10:47:36 Gateway 0, reading I: READ FROM NIB
10:47:37 Gateway 0, reading I: PPS DETECTED
10:47:37 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
10:47:37 Gateway 0, reading 52454144592d2d4e4f4445313239212121212121212121212121212121212152
10:47:37 Gateway 0, reading I: [D6:64:98:38:C4:55 (random)] Sensor NIB read:
10:47:37 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:37 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
10:47:37 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:47:38 Gateway 0, reading I: PPS DETECTED
10:47:39 Gateway 0, reading I: PPS DETECTED
10:47:40 Gateway 0, reading I: PPS DETECTED
10:47:41 Gateway 0, reading I: PPS DETECTED
10:47:42 Gateway 0, reading I: PPS DETECTED
10:47:43 Gateway 0, reading I: PPS DETECTED
10:47:44 Gateway 0, reading I: PPS DETECTED
10:47:45 Gateway 0, reading I: PPS DETECTED
10:47:46 Gateway 0, reading I: PPS DETECTED
10:47:47 Gateway 0, reading I: PPS DETECTED
10:47:48 Gateway 0, reading I: PPS DETECTED
10:47:49 Gateway 0, reading I: PPS DETECTED
10:47:50 Gateway 0, reading I: PPS DETECTED
10:47:51 Gateway 0, reading I: PPS DETECTED
10:47:51 Gateway 0, sending b'NIBWS0100400000000000000000000000000'
10:47:52 Gateway 0, reading I: PPS DETECTED
10:47:52 Gateway 0, reading I: Write NIB - PPS
10:47:53 Gateway 0, reading I: NIB Write ACK
10:47:53 Gateway 0, reading I: NIB Write ACK
10:47:53 Gateway 0, reading I: PPS DETECTED
10:47:53 Gateway 0, reading I: NIB Write ACK
10:47:54 Gateway 0, reading I: NIB Write ACK
10:47:54 Gateway 0, reading I: PPS DETECTED
10:47:54 Gateway 0, reading I: NIB Write ACK
10:47:55 Gateway 0, reading I: PPS DETECTED
10:47:56 Gateway 0, reading I: PPS DETECTED
10:47:57 Gateway 0, reading I: PPS DETECTED
10:47:58 Gateway 0, reading I: PPS DETECTED
10:47:59 Gateway 0, reading I: PPS DETECTED
10:48:00 Gateway 0, reading I: PPS DETECTED
10:48:01 Gateway 0, reading I: PPS DETECTED
10:48:02 Gateway 0, reading I: PPS DETECTED
10:48:03 Gateway 0, reading I: PPS DETECTED
10:48:04 Gateway 0, reading I: PPS DETECTED
10:48:05 Gateway 0, reading I: PPS DETECTED
10:48:06 Gateway 0, reading I: PPS DETECTED
10:48:07 Gateway 0, reading I: PPS DETECTED
10:48:08 Gateway 0, reading I: PPS DETECTED
10:48:09 Gateway 0, reading I: PPS DETECTED
10:48:10 Gateway 0, reading I: PPS DETECTED
10:48:11 Gateway 0, reading I: PPS DETECTED
10:48:12 Gateway 0, reading I: PPS DETECTED
10:48:12 Gateway 0, sending b'NIBR\xe2*\x19\x8d\xda\xbb'
10:48:12 Gateway 0, reading I: READ FROM NIB
10:48:13 Gateway 0, reading I: PPS DETECTED
10:48:13 Gateway 0, sending b'NIBR\xf0\xe9\xbaV\xc7\x82'
10:48:13 Gateway 0, reading I: READ FROM NIB
10:48:13 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
10:48:13 Gateway 0, reading I: READ FROM NIB
10:48:14 Gateway 0, reading I: [E2:2A:19:8D:DA:BB (random)] Sensor NIB read:
10:48:14 Gateway 0, reading 455455524e4449523246494c312d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d52
10:48:14 Gateway 0, reading I: PPS DETECTED
10:48:14 Gateway 0, sending b'NIBR\xd6d\x988\xc4U'
10:48:14 Gateway 0, reading I: READ FROM NIB
10:48:14 Gateway 0, reading I: [F0:E9:BA:56:C7:82 (random)] Sensor NIB read:
10:48:14 Gateway 0, reading 455455524e4449523346494c312d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d52
10:48:14 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
10:48:14 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
10:48:14 Gateway 0, reading 455455524e4449523346494c312d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d52
10:48:14 Gateway 0, reading I: READ FROM NIB
10:48:15 Gateway 0, reading I: PPS DETECTED
10:48:15 Gateway 0, reading I: [D6:64:98:38:C4:55 (random)] Sensor NIB read:
10:48:15 Gateway 0, reading 455455524e4449523246494c312d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d52
10:48:15 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
10:48:15 Gateway 0, reading 5330313030343030303030303030303030303030303030303030303030303030
10:48:16 Gateway 0, reading I: PPS DETECTED
10:48:17 Gateway 0, reading I: PPS DETECTED
10:48:18 Gateway 0, reading I: PPS DETECTED
10:48:19 Gateway 0, reading I: PPS DETECTED
10:48:20 Gateway 0, reading I: PPS DETECTED
10:48:21 Gateway 0, reading I: PPS DETECTED
10:48:22 Gateway 0, reading I: PPS DETECTED
10:48:23 Gateway 0, reading I: PPS DETECTED
10:48:24 Gateway 0, reading I: PPS DETECTED
10:48:25 Gateway 0, reading I: PPS DETECTED
10:48:26 Gateway 0, reading I: PPS DETECTED
10:48:27 Gateway 0, reading I: PPS DETECTED
10:48:28 Gateway 0, reading I: PPS DETECTED
10:48:29 Gateway 0, reading I: PPS DETECTED
10:48:30 Gateway 0, reading I: PPS DETECTED
10:48:31 Gateway 0, reading I: PPS DETECTED
10:48:32 Gateway 0, reading I: PPS DETECTED
10:48:33 Gateway 0, reading I: PPS DETECTED
10:48:34 Gateway 0, reading I: PPS DETECTED
10:48:35 Gateway 0, reading I: PPS DETECTED
10:48:36 Gateway 0, reading I: PPS DETECTED
10:48:37 Gateway 0, reading I: PPS DETECTED
10:48:38 Gateway 0, reading I: PPS DETECTED
10:48:39 Gateway 0, reading I: PPS DETECTED
10:48:40 Gateway 0, reading I: PPS DETECTED
10:48:41 Gateway 0, reading I: PPS DETECTED
10:48:42 Gateway 0, reading I: PPS DETECTED
10:48:43 Gateway 0, reading I: PPS DETECTED
10:48:44 Gateway 0, reading I: PPS DETECTED
10:48:45 Gateway 0, reading I: PPS DETECTED
10:48:46 Gateway 0, reading I: PPS DETECTED
10:48:47 Gateway 0, reading I: PPS DETECTED
10:48:48 Gateway 0, reading I: PPS DETECTED
10:48:49 Gateway 0, reading I: PPS DETECTED
10:48:50 Gateway 0, reading I: PPS DETECTED
10:48:51 Gateway 0, reading I: PPS DETECTED
10:48:52 Gateway 0, reading I: PPS DETECTED
10:48:53 Gateway 0, reading I: PPS DETECTED
10:48:54 Gateway 0, reading I: PPS DETECTED
10:48:55 Gateway 0, reading I: PPS DETECTED
10:48:56 Gateway 0, reading I: PPS DETECTED
10:48:57 Gateway 0, reading I: PPS DETECTED
10:48:58 Gateway 0, reading I: PPS DETECTED
10:48:59 Gateway 0, reading I: PPS DETECTED
10:49:00 Gateway 0, reading I: PPS DETECTED
10:49:01 Gateway 0, reading I: PPS DETECTED
10:49:02 Gateway 0, reading I: PPS DETECTED
10:49:03 Gateway 0, reading I: PPS DETECTED
10:49:04 Gateway 0, reading I: PPS DETECTED
10:49:05 Gateway 0, reading I: PPS DETECTED
10:49:06 Gateway 0, reading I: PPS DETECTED
10:49:07 Gateway 0, reading I: PPS DETECTED
10:49:08 Gateway 0, reading I: PPS DETECTED
10:49:09 Gateway 0, reading I: PPS DETECTED
10:49:09 Gateway 0, sending b'NIBWS0100400000000000000000000000000'
10:49:10 Gateway 0, reading I: PPS DETECTED
10:49:10 Gateway 0, reading I: Write NIB - PPS
10:49:10 Gateway 0, reading I: NIB Write ACK
10:49:11 Gateway 0, reading I: NIB Write ACK
10:49:11 Gateway 0, reading I: PPS DETECTED
10:49:11 Gateway 0, reading I: NIB Write ACK
